job_id,job_title,company,location,work_mode,experience,employment_type,skills,salary_lpa,date_posted
22,Data Analyst,Flipkart,Hyderabad,On-site,Mid (3-5 yrs),Full-time,"Machine Learning, Excel",8.9,2024-12-11
23,Business Analyst,Amazon India,Gurgaon,Hybrid,Fresher (0-1 yr),Full-time,"Tableau, Python, Machine Learning, Excel, SQL",4.1,2024-12-15
24,BI Analyst,Infosys,Hyderabad,On-site,Junior (1-3 yrs),Internship,"Pandas, Machine Learning",4.6,2024-05-12
25,Data Analyst,Zomato,Pune,Remote,Junior (1-3 yrs),Internship,"Pandas, Machine Learning",7.5,2024-10-24
26,Junior Data Analyst,Capgemini,Chennai,On-site,Senior (5+ yrs),Full-time,"Pandas, NumPy, Power BI",15.5,2024-02-13
27,Data Analyst,ICICI Bank,Pune,On-site,Senior (5+ yrs),Contract,"Power BI, Git, Python, Pandas",14.5,2024-02-25
28,Data Scientist,Zomato,Noida,Remote,Mid (3-5 yrs),Full-time,"Tableau, Excel",11.1,2024-01-04
29,BI Analyst,Zomato,Delhi,Hybrid,Fresher (0-1 yr),Contract,"Tableau, Python, NumPy",2.5,2024-09-22
30,Business Analyst,Zomato,Noida,On-site,Mid (3-5 yrs),Internship,"SQL, Tableau, Machine Learning, Pandas",9.9,2024-05-18
31,Junior Data Analyst,IBM India,Noida,Remote,Senior (5+ yrs),Internship,"Git, Tableau, NumPy",,2024-05-07
32,BI Analyst,Swiggy,Gurgaon,Hybrid,Senior (5+ yrs),Internship,"Machine Learning, Statistics, Excel",20.6,2024-11-21
33,SQL Developer,Wipro,Pune,Remote,Mid (3-5 yrs),Full-time,"Excel, Python, Machine Learning",8.7,2024-02-15
34,BI Analyst,IBM India,Noida,Hybrid,Senior (5+ yrs),Full-time,"Python, SQL, NumPy",14.8,2024-12-17
35,Python Developer,TCS,Pune,On-site,Senior (5+ yrs),Full-time,"Machine Learning, Git, Pandas, NumPy, Power BI",20.0,2024-09-14
36,Python Developer,Cognizant,Gurgaon,Hybrid,Mid (3-5 yrs),Full-time,"Machine Learning, Statistics, Power BI, Excel",10.1,2024-04-09
37,SQL Developer,Swiggy,Hyderabad,On-site,Junior (1-3 yrs),Full-time,"Excel, Power BI, SQL, Machine Learning, NumPy",5.3,2024-01-07
38,BI Analyst,Google India,Bangalore,Remote,Senior (5+ yrs),Contract,"Pandas, Tableau",21.8,2024-07-18
39,Business Analyst,ICICI Bank,Pune,Hybrid,Senior (5+ yrs),Contract,"NumPy, Pandas",20.7,2024-12-06
40,Python Developer,Accenture,Bangalore,Hybrid,Fresher (0-1 yr),Full-time,"Excel, Statistics, Git, Python, Machine Learning",3.4,2024-06-11
41,BI Analyst,Amazon India,Noida,Hybrid,Fresher (0-1 yr),Contract,"Machine Learning, Python",5.0,2024-11-03
42,Data Analyst,Infosys,Pune,On-site,Fresher (0-1 yr),Internship,"Power BI, Excel, Statistics",4.2,2024-04-15
43,Data Scientist,Zomato,Chennai,Remote,Fresher (0-1 yr),Full-time,"SQL, Python, Tableau, Statistics",4.2,2024-07-23
44,Business Analyst,Wipro,Pune,On-site,Mid (3-5 yrs),Internship,"Git, Python",9.4,2024-06-03
45,SQL Developer,Infosys,Noida,Hybrid,Fresher (0-1 yr),Contract,"Statistics, Excel, NumPy, SQL",4.3,2024-05-20
46,Python Developer,HDFC Bank,Noida,Remote,Mid (3-5 yrs),Contract,"SQL, Tableau, Statistics",8.7,2024-10-22
47,BI Analyst,Swiggy,Bangalore,Hybrid,Mid (3-5 yrs),Full-time,"Power BI, Pandas, Tableau, Excel, NumPy",13.2,2024-05-18
48,Data Analyst,IBM India,Hyderabad,On-site,Senior (5+ yrs),Contract,"Statistics, Git, Machine Learning",22.3,2024-04-13
49,Business Analyst,Flipkart,Delhi,Hybrid,Mid (3-5 yrs),Contract,"Pandas, Statistics, Tableau, Excel",8.8,2024-04-11
50,Senior Data Analyst,Cognizant,Pune,On-site,Senior (5+ yrs),Contract,"SQL, Power BI, Tableau, Git",16.7,2024-12-18
51,Junior Data Analyst,Amazon India,Bangalore,On-site,Mid (3-5 yrs),Internship,"Statistics, SQL, Python",11.0,2024-08-11
52,Junior Data Analyst,TCS,Mumbai,Hybrid,Fresher (0-1 yr),Full-time,"Statistics, SQL, Python, Machine Learning, NumPy",4.5,2024-02-08
53,Senior Data Analyst,Microsoft India,Pune,Remote,Senior (5+ yrs),Contract,"Tableau, NumPy, Git, Statistics, Machine Learning",12.8,2024-02-25
54,Business Analyst,IBM India,Mumbai,Remote,Fresher (0-1 yr),Full-time,"Excel, Machine Learning, SQL",2.9,2024-12-20
55,Python Developer,Flipkart,Bangalore,On-site,Mid (3-5 yrs),Internship,"Statistics, SQL, Power BI, Excel",12.5,2024-11-26
56,Business Analyst,Microsoft India,Hyderabad,Remote,Junior (1-3 yrs),Internship,"Tableau, Excel, SQL",4.2,2024-10-24
57,Data Scientist,HDFC Bank,Hyderabad,Hybrid,Mid (3-5 yrs),Internship,"Tableau, Machine Learning, Statistics, Power BI, Python",11.2,2024-12-11
58,Data Scientist,Infosys,Hyderabad,On-site,Fresher (0-1 yr),Internship,"Git, Python, Excel, Power BI",3.8,2024-05-06
59,BI Analyst,ICICI Bank,Hyderabad,Hybrid,Mid (3-5 yrs),Contract,"Pandas, SQL, Excel, Statistics",9.9,2024-11-13
60,Data Analyst,HDFC Bank,Hyderabad,Hybrid,Mid (3-5 yrs),Contract,"NumPy, Machine Learning",,2024-09-15
61,BI Analyst,TCS,Pune,Remote,Mid (3-5 yrs),Internship,"Statistics, Python, Power BI, Excel, Tableau",7.9,2024-12-16
62,Senior Data Analyst,Infosys,Pune,Remote,Junior (1-3 yrs),Contract,"Machine Learning, NumPy",4.4,2024-02-15
63,Senior Data Analyst,Accenture,Gurgaon,Remote,Mid (3-5 yrs),Internship,"NumPy, Statistics, Machine Learning, SQL",10.2,2024-04-20
64,Junior Data Analyst,Wipro,Mumbai,Hybrid,Mid (3-5 yrs),Internship,"Python, Tableau, Machine Learning, NumPy",11.1,2024-08-28
65,Junior Data Analyst,HDFC Bank,Gurgaon,Hybrid,Mid (3-5 yrs),Internship,"Statistics, Pandas, Power BI, Machine Learning, SQL",11.0,2024-07-02
66,SQL Developer,ICICI Bank,Noida,Hybrid,Junior (1-3 yrs),Contract,"Excel, Machine Learning",7.9,2024-02-28
67,Python Developer,HCL Technologies,Gurgaon,On-site,Junior (1-3 yrs),Contract,"SQL, Statistics, Tableau",5.4,2024-11-03
68,SQL Developer,Google India,Delhi,Remote,Senior (5+ yrs),Internship,"Git, SQL",15.1,2024-05-08
69,Senior Data Analyst,Microsoft India,Hyderabad,Remote,Fresher (0-1 yr),Contract,"Tableau, Python, Machine Learning",3.3,2024-06-12
70,BI Analyst,Accenture,Pune,Remote,Senior (5+ yrs),Internship,"Excel, Git, SQL",19.9,2024-11-08
71,Python Developer,Accenture,Pune,Hybrid,Mid (3-5 yrs),Contract,"Python, Statistics, Tableau, Pandas",10.8,2024-06-19
72,Data Scientist,Microsoft India,Mumbai,Hybrid,Mid (3-5 yrs),Full-time,"Statistics, SQL, Power BI, Git, Tableau",9.5,2024-12-10
73,Data Analyst,Google India,Mumbai,On-site,Fresher (0-1 yr),Internship,"Tableau, Power BI, Pandas, SQL, Statistics",3.0,2024-12-25
74,Junior Data Analyst,HCL Technologies,Bangalore,Hybrid,Senior (5+ yrs),Full-time,"Excel, SQL, Tableau, Git",21.7,2024-03-26
75,SQL Developer,Amazon India,Chennai,Hybrid,Senior (5+ yrs),Contract,"SQL, Statistics, Git, Machine Learning",21.8,2024-11-24
76,BI Analyst,Zomato,Hyderabad,Hybrid,Fresher (0-1 yr),Contract,"Statistics, Pandas",4.2,2024-10-13
77,SQL Developer,HCL Technologies,Pune,Hybrid,Fresher (0-1 yr),Internship,"Git, Power BI, SQL, Pandas",4.6,2024-05-21
78,BI Analyst,HCL Technologies,Chennai,On-site,Fresher (0-1 yr),Contract,"SQL, Git, Power BI, Tableau, Machine Learning",3.5,2024-12-23
79,BI Analyst,Accenture,Noida,Remote,Fresher (0-1 yr),Contract,"Tableau, Python, Pandas, SQL, Power BI",3.6,2024-06-04
80,SQL Developer,Zomato,Bangalore,Hybrid,Mid (3-5 yrs),Full-time,"Statistics, SQL",11.6,2024-10-01
81,Data Analyst,Swiggy,Pune,On-site,Junior (1-3 yrs),Full-time,"Git, Power BI, Machine Learning",5.3,2024-10-01
82,Data Scientist,Accenture,Chennai,Remote,Mid (3-5 yrs),Full-time,"Python, Excel",7.1,2024-04-19
83,SQL Developer,Infosys,Chennai,Hybrid,Fresher (0-1 yr),Full-time,"Machine Learning, SQL, Git, Power BI, NumPy",4.4,2024-02-15
84,Business Analyst,TCS,Mumbai,Hybrid,Fresher (0-1 yr),Full-time,"NumPy, Git, SQL, Power BI, Pandas",4.8,2024-02-11
85,Junior Data Analyst,Wipro,Chennai,Hybrid,Mid (3-5 yrs),Contract,"Statistics, Machine Learning, NumPy, Python",12.6,2024-11-21
86,Business Analyst,Microsoft India,Gurgaon,On-site,Senior (5+ yrs),Contract,"NumPy, Git, SQL, Excel, Power BI",16.1,2024-03-22
87,Python Developer,Wipro,Hyderabad,On-site,Fresher (0-1 yr),Contract,"Pandas, Excel",3.9,2024-09-18
88,SQL Developer,HCL Technologies,Noida,Hybrid,Senior (5+ yrs),Internship,"Tableau, Git",16.6,2024-04-05
89,Python Developer,Capgemini,Hyderabad,Hybrid,Mid (3-5 yrs),Full-time,"Git, Power BI, NumPy, Statistics",10.9,2024-10-20
90,Data Analyst,Amazon India,Bangalore,On-site,Mid (3-5 yrs),Internship,"Pandas, Git, Python, SQL",13.1,2024-07-03
91,Junior Data Analyst,Infosys,Hyderabad,Remote,Junior (1-3 yrs),Contract,"Statistics, Pandas, Excel, Git, NumPy",6.9,2024-10-20
92,Senior Data Analyst,TCS,Chennai,On-site,Fresher (0-1 yr),Internship,"Tableau, Statistics",4.2,2024-08-14
93,Data Scientist,IBM India,Hyderabad,Hybrid,Senior (5+ yrs),Full-time,"Git, Statistics, Tableau, Python",14.9,2024-01-01
94,Business Analyst,Flipkart,Pune,On-site,Mid (3-5 yrs),Contract,"SQL, Python, Statistics, Pandas",10.0,2024-09-23
95,Business Analyst,Zomato,Hyderabad,Hybrid,Fresher (0-1 yr),Contract,"Statistics, SQL",4.7,2024-10-13
96,BI Analyst,Flipkart,Hyderabad,Hybrid,Fresher (0-1 yr),Contract,"Git, Statistics, Pandas",2.7,2024-04-14
97,BI Analyst,Wipro,Noida,Hybrid,Mid (3-5 yrs),Full-time,"Excel, SQL, Machine Learning, Tableau",10.6,2024-06-12
98,Junior Data Analyst,Capgemini,Hyderabad,On-site,Mid (3-5 yrs),Full-time,"Git, Excel, SQL",8.2,2024-08-15
99,Python Developer,Swiggy,Delhi,On-site,Senior (5+ yrs),Full-time,"Statistics, Tableau, Machine Learning, Git, Python",16.6,2024-08-15
100,Data Analyst,TCS,Delhi,Hybrid,Fresher (0-1 yr),Internship,"Git, Machine Learning",3.5,2024-12-02
101,Python Developer,IBM India,Delhi,Remote,Senior (5+ yrs),Internship,"Python, Statistics, SQL",22.5,2024-12-03
102,Junior Data Analyst,TCS,Pune,Remote,Senior (5+ yrs),Contract,"Pandas, Git, Tableau",17.0,2024-11-20
103,Data Analyst,Swiggy,Hyderabad,Hybrid,Fresher (0-1 yr),Internship,"Tableau, Git, Excel, Statistics, Python",4.0,2024-06-10
104,BI Analyst,Accenture,Hyderabad,Hybrid,Senior (5+ yrs),Internship,"Excel, Machine Learning, SQL, Pandas",20.7,2024-01-12
105,Data Scientist,Cognizant,Pune,Hybrid,Senior (5+ yrs),Full-time,"Excel, Git, SQL",15.8,2024-09-25
106,Data Analyst,Swiggy,Chennai,Remote,Senior (5+ yrs),Full-time,"Excel, Git, Statistics",12.6,2024-12-08
107,Python Developer,Flipkart,Gurgaon,On-site,Junior (1-3 yrs),Contract,"Power BI, Pandas, Statistics, Git, Excel",7.1,2024-07-06
108,Business Analyst,Accenture,Mumbai,On-site,Senior (5+ yrs),Contract,"Machine Learning, SQL",15.7,2024-05-15
109,Junior Data Analyst,Microsoft India,Hyderabad,On-site,Senior (5+ yrs),Contract,"NumPy, Python",17.2,2024-07-03
110,SQL Developer,Capgemini,Bangalore,Hybrid,Fresher (0-1 yr),Internship,"Excel, Git, Python, Machine Learning",4.8,2024-03-25
111,Python Developer,HDFC Bank,Bangalore,On-site,Fresher (0-1 yr),Contract,"Excel, Machine Learning, NumPy",2.8,2024-05-04
112,Data Analyst,Capgemini,Noida,Remote,Senior (5+ yrs),Full-time,"Statistics, Machine Learning",12.2,2024-04-23
113,Junior Data Analyst,Flipkart,Noida,On-site,Mid (3-5 yrs),Full-time,"Excel, SQL, Pandas, Python, Tableau",10.8,2024-09-18
114,Data Analyst,Google India,Gurgaon,On-site,Senior (5+ yrs),Contract,"Python, Pandas, SQL, Excel",15.1,2024-02-25
115,SQL Developer,Accenture,Bangalore,Hybrid,Mid (3-5 yrs),Internship,"Statistics, Git, Excel",12.7,2024-08-02
116,Data Scientist,IBM India,Bangalore,On-site,Fresher (0-1 yr),Contract,"Machine Learning, NumPy, Statistics, Excel",2.6,2024-05-12
117,Data Analyst,Swiggy,Mumbai,On-site,Mid (3-5 yrs),Contract,"Statistics, NumPy, Pandas, SQL, Power BI",11.8,2024-09-09
118,Senior Data Analyst,Microsoft India,Hyderabad,Hybrid,Junior (1-3 yrs),Internship,"Pandas, SQL, Machine Learning, Excel",6.6,2024-10-23
119,BI Analyst,Cognizant,Gurgaon,Hybrid,Senior (5+ yrs),Full-time,"Git, NumPy, Tableau, Pandas",24.7,2024-02-22
120,BI Analyst,Zomato,Chennai,On-site,Junior (1-3 yrs),Internship,"Python, Excel, SQL, Statistics, Pandas",5.5,2024-10-02
121,Junior Data Analyst,HDFC Bank,Delhi,Hybrid,Senior (5+ yrs),Full-time,"Machine Learning, Pandas, NumPy",16.1,2024-02-01
122,Junior Data Analyst,ICICI Bank,Noida,Remote,Fresher (0-1 yr),Contract,"Statistics, Power BI, Tableau, Pandas",4.8,2024-02-05
123,Senior Data Analyst,HDFC Bank,Chennai,Remote,Senior (5+ yrs),Full-time,"Pandas, SQL, Tableau, Excel",23.1,2024-12-21
124,Junior Data Analyst,Zomato,Pune,On-site,Junior (1-3 yrs),Full-time,"Statistics, Python, Pandas",6.2,2024-09-05
125,Senior Data Analyst,Wipro,Mumbai,Hybrid,Senior (5+ yrs),Internship,"NumPy, SQL, Excel, Statistics, Pandas",13.0,2024-09-12
126,Junior Data Analyst,Cognizant,Chennai,Hybrid,Fresher (0-1 yr),Full-time,"Tableau, Excel, Machine Learning",3.3,2024-06-17
127,Data Scientist,Wipro,Mumbai,On-site,Mid (3-5 yrs),Full-time,"Git, Machine Learning, SQL, Tableau",11.5,2024-10-05
128,Junior Data Analyst,Swiggy,Bangalore,On-site,Fresher (0-1 yr),Full-time,"Power BI, NumPy, Python, Git",4.7,2024-11-10
129,Python Developer,Capgemini,Noida,Hybrid,Senior (5+ yrs),Full-time,"Excel, Statistics",17.4,2024-06-20
130,Junior Data Analyst,Swiggy,Delhi,Remote,Mid (3-5 yrs),Contract,"Pandas, Machine Learning, SQL",9.2,2024-05-15
131,Business Analyst,Accenture,Hyderabad,On-site,Mid (3-5 yrs),Contract,"Power BI, Excel, Pandas, Tableau, Statistics",9.2,2024-08-17
132,Python Developer,ICICI Bank,Mumbai,Hybrid,Fresher (0-1 yr),Full-time,"Machine Learning, Statistics, Power BI, SQL, Tableau",3.4,2024-08-20
133,Python Developer,Flipkart,Bangalore,On-site,Senior (5+ yrs),Full-time,"Pandas, NumPy, Git, Python",17.2,2024-04-12
134,Data Scientist,Wipro,Noida,Remote,Senior (5+ yrs),Internship,"Git, SQL, Excel, Python",17.1,2024-06-18
135,SQL Developer,Accenture,Pune,Remote,Senior (5+ yrs),Internship,"Python, Git",13.8,2024-08-17
136,Python Developer,Accenture,Chennai,Hybrid,Mid (3-5 yrs),Full-time,"Git, Tableau, Pandas, Machine Learning, NumPy",10.7,2024-05-16
137,Data Analyst,Zomato,Delhi,Remote,Fresher (0-1 yr),Contract,"Python, Statistics, Tableau, Pandas",4.5,2024-10-08
138,Data Analyst,ICICI Bank,Chennai,Remote,Senior (5+ yrs),Full-time,"Python, SQL, Power BI",12.2,2024-03-14
139,Business Analyst,Microsoft India,Gurgaon,Remote,Fresher (0-1 yr),Internship,"Machine Learning, Power BI, Pandas",5.0,2024-07-11
140,Junior Data Analyst,HDFC Bank,Delhi,Remote,Mid (3-5 yrs),Internship,"Git, Statistics, Power BI, SQL",9.0,2024-05-25
141,Data Scientist,IBM India,Gurgaon,Hybrid,Senior (5+ yrs),Contract,"Tableau, SQL, NumPy, Power BI",22.6,2024-03-10
142,Data Analyst,Flipkart,Hyderabad,Hybrid,Senior (5+ yrs),Internship,"Statistics, Power BI, Machine Learning, NumPy",19.0,2024-12-09
143,Junior Data Analyst,HCL Technologies,Pune,On-site,Fresher (0-1 yr),Internship,"Power BI, Python, SQL",3.5,2024-02-22
144,Junior Data Analyst,Infosys,Chennai,Hybrid,Senior (5+ yrs),Contract,"Tableau, Pandas, Git",20.4,2024-02-21
145,Business Analyst,TCS,Chennai,Hybrid,Junior (1-3 yrs),Full-time,"Statistics, Excel, Tableau, Python, NumPy",5.2,2024-06-10
146,Python Developer,ICICI Bank,Chennai,Remote,Senior (5+ yrs),Contract,"SQL, Pandas, Excel",21.5,2024-12-06
147,Data Analyst,Swiggy,Mumbai,Remote,Junior (1-3 yrs),Full-time,"NumPy, Machine Learning, Pandas, Python, Power BI",6.7,2024-03-16
148,SQL Developer,Capgemini,Bangalore,Hybrid,Senior (5+ yrs),Full-time,"Tableau, Pandas, Git, Statistics, Machine Learning",19.4,2024-06-23
149,Business Analyst,TCS,Hyderabad,Hybrid,Mid (3-5 yrs),Full-time,"Machine Learning, Tableau, SQL, Pandas, Excel",9.6,2024-03-16
150,Junior Data Analyst,HDFC Bank,Delhi,Hybrid,Senior (5+ yrs),Internship,"Power BI, SQL, Statistics",18.9,2024-10-04
151,Data Analyst,IBM India,Chennai,On-site,Mid (3-5 yrs),Internship,"SQL, Power BI, Statistics, Python, Tableau",10.1,2024-03-17
152,BI Analyst,HDFC Bank,Bangalore,Remote,Senior (5+ yrs),Internship,"Python, NumPy, Tableau, Machine Learning",12.0,2024-02-02
153,BI Analyst,Zomato,Hyderabad,Remote,Fresher (0-1 yr),Full-time,"Python, Tableau, NumPy, SQL, Statistics",4.4,2024-11-14
154,SQL Developer,Google India,Gurgaon,Hybrid,Senior (5+ yrs),Full-time,"Pandas, SQL, Excel",24.9,2024-03-24
155,Business Analyst,Infosys,Bangalore,Hybrid,Senior (5+ yrs),Internship,"Machine Learning, NumPy, Power BI, SQL, Statistics",16.5,2024-12-25
156,Senior Data Analyst,TCS,Noida,Remote,Fresher (0-1 yr),Full-time,"SQL, Git, Python",3.6,2024-01-08
157,Data Analyst,Google India,Gurgaon,On-site,Junior (1-3 yrs),Full-time,"Machine Learning, Tableau, Power BI",7.3,2024-06-19
158,SQL Developer,Capgemini,Mumbai,On-site,Junior (1-3 yrs),Contract,"Tableau, Python, Excel, Pandas",6.7,2024-01-12
159,BI Analyst,Swiggy,Noida,Hybrid,Junior (1-3 yrs),Contract,"Excel, Machine Learning, Statistics, SQL, NumPy",5.2,2024-08-02
160,BI Analyst,Microsoft India,Chennai,Hybrid,Junior (1-3 yrs),Contract,"Pandas, SQL, Statistics",7.4,2024-12-27
161,Business Analyst,TCS,Mumbai,Hybrid,Fresher (0-1 yr),Full-time,"Git, Machine Learning, Power BI",3.7,2024-06-10
162,Data Analyst,IBM India,Pune,Remote,Fresher (0-1 yr),Internship,"Power BI, Git, NumPy, SQL, Tableau",3.3,2024-08-18
163,SQL Developer,Flipkart,Mumbai,Hybrid,Senior (5+ yrs),Contract,"Statistics, Pandas",23.9,2024-07-02
164,Business Analyst,Accenture,Bangalore,Hybrid,Senior (5+ yrs),Contract,"Power BI, Pandas, Git",16.9,2024-08-18
165,SQL Developer,Amazon India,Gurgaon,Remote,Senior (5+ yrs),Contract,"Pandas, Excel, Machine Learning",21.4,2024-09-21
166,Data Analyst,TCS,Hyderabad,Remote,Fresher (0-1 yr),Full-time,"Excel, Power BI, SQL, Pandas, Statistics",2.5,2024-06-02
167,Python Developer,ICICI Bank,Bangalore,On-site,Senior (5+ yrs),Full-time,"Machine Learning, Tableau",19.0,2024-09-27
168,BI Analyst,Cognizant,Hyderabad,On-site,Junior (1-3 yrs),Full-time,"Git, Machine Learning, Tableau",7.3,2024-07-03
169,SQL Developer,Google India,Gurgaon,Remote,Junior (1-3 yrs),Internship,"Tableau, SQL, Python",4.4,2024-09-16
170,Data Analyst,Infosys,Chennai,On-site,Senior (5+ yrs),Contract,"Git, SQL, Python, Machine Learning",14.7,2024-10-16
171,Data Scientist,TCS,Hyderabad,Remote,Mid (3-5 yrs),Internship,"Excel, Pandas",7.1,2024-03-25
172,BI Analyst,Wipro,Mumbai,On-site,Junior (1-3 yrs),Internship,"Machine Learning, Pandas, NumPy, Statistics, Git",4.6,2024-12-03
173,SQL Developer,TCS,Hyderabad,Hybrid,Junior (1-3 yrs),Full-time,"Git, NumPy, Pandas, Python",6.5,2024-08-16
174,Business Analyst,Zomato,Noida,Hybrid,Junior (1-3 yrs),Internship,"SQL, Tableau, Power BI, Pandas, Python",4.3,2024-12-26
175,Junior Data Analyst,Google India,Delhi,Hybrid,Fresher (0-1 yr),Full-time,"Tableau, Statistics",3.4,2024-03-03
176,Junior Data Analyst,Microsoft India,Gurgaon,Remote,Senior (5+ yrs),Full-time,"SQL, Pandas",19.2,2024-06-28
177,BI Analyst,Infosys,Mumbai,Hybrid,Senior (5+ yrs),Full-time,"Git, Machine Learning, Excel",20.9,2024-05-10
178,Data Scientist,ICICI Bank,Chennai,On-site,Junior (1-3 yrs),Contract,"NumPy, Tableau, Statistics, Git",4.3,2024-04-24
179,Python Developer,IBM India,Gurgaon,On-site,Junior (1-3 yrs),Contract,"NumPy, Pandas",7.4,2024-06-15
180,SQL Developer,Microsoft India,Chennai,Hybrid,Mid (3-5 yrs),Internship,"Statistics, Pandas, Excel",13.8,2024-05-24
181,Python Developer,Capgemini,Delhi,Hybrid,Mid (3-5 yrs),Contract,"SQL, Power BI, Excel, Pandas",,2024-12-15
182,Business Analyst,HDFC Bank,Mumbai,Remote,Fresher (0-1 yr),Contract,"Excel, Tableau, Power BI, Git, Pandas",2.9,2024-07-03
183,Python Developer,ICICI Bank,Noida,Remote,Senior (5+ yrs),Internship,"Pandas, Machine Learning",19.7,2024-02-25
184,Business Analyst,Zomato,Chennai,Remote,Fresher (0-1 yr),Internship,"Pandas, NumPy, SQL, Python, Machine Learning",3.1,2024-09-18
185,Business Analyst,HDFC Bank,Delhi,Hybrid,Senior (5+ yrs),Internship,"Pandas, Python, Statistics",13.4,2024-02-04
186,Junior Data Analyst,Zomato,Mumbai,Hybrid,Senior (5+ yrs),Full-time,"Pandas, Statistics, SQL, Power BI, Git",21.1,2024-05-02
187,Senior Data Analyst,Infosys,Delhi,Remote,Fresher (0-1 yr),Internship,"Power BI, Machine Learning, Excel",3.9,2024-07-15
188,Business Analyst,Google India,Chennai,On-site,Senior (5+ yrs),Contract,"Git, Power BI",17.8,2024-01-23
189,Business Analyst,IBM India,Mumbai,Remote,Fresher (0-1 yr),Internship,"Machine Learning, Excel",3.4,2024-02-09
190,Python Developer,Swiggy,Noida,Remote,Senior (5+ yrs),Internship,"Pandas, Git",23.0,2024-11-23
191,Data Scientist,Wipro,Chennai,Hybrid,Fresher (0-1 yr),Full-time,"SQL, Excel, Pandas, Statistics",2.9,2024-10-05
192,BI Analyst,Microsoft India,Chennai,Hybrid,Junior (1-3 yrs),Internship,"Statistics, Tableau, Excel",4.7,2024-10-02
193,SQL Developer,Infosys,Gurgaon,On-site,Junior (1-3 yrs),Contract,"NumPy, Statistics, Git, Pandas, Power BI",6.0,2024-01-26
194,Business Analyst,Flipkart,Bangalore,Hybrid,Junior (1-3 yrs),Internship,"Excel, Statistics, Machine Learning, Tableau",6.0,2024-05-25
195,SQL Developer,TCS,Gurgaon,Remote,Junior (1-3 yrs),Contract,"Power BI, Tableau",,2024-05-12
196,Senior Data Analyst,HDFC Bank,Hyderabad,On-site,Junior (1-3 yrs),Internship,"Git, NumPy, Excel, Tableau",4.6,2024-04-26
197,Data Analyst,Zomato,Mumbai,Remote,Junior (1-3 yrs),Contract,"Tableau, Git, SQL, Statistics",7.9,2024-01-09
198,Junior Data Analyst,Accenture,Pune,On-site,Mid (3-5 yrs),Full-time,"Statistics, Excel, Tableau, Pandas, Power BI",9.6,2024-02-13
